sequence_name,identified_by,vs2_score,vs2_group,dvf_score,dvf_pvalue,consensus
k141_134101,DeepVirFinder_only,,,1.465975947212428e-05,0.7639172142911096,False
k141_135749,DeepVirFinder_only,,,0.000212725950405,0.6118098043658886,False
k141_178297,DeepVirFinder_only,,,0.0079853748902678,0.3599780950222827,False
k141_74279,DeepVirFinder_only,,,0.0050815478898584,0.3915892439005967,False
k141_167333,DeepVirFinder_only,,,0.1537943035364151,0.1631543167912984,False
k141_98157,DeepVirFinder_only,,,0.0060234162956476,0.379220484930886,False
k141_45083,DeepVirFinder_only,,,5.911718403694977e-07,0.8873215499660095,False
k141_28360,DeepVirFinder_only,,,6.790299084968865e-05,0.6816602462421633,False
k141_154894,DeepVirFinder_only,,,0.0094051156193017,0.3484779817206738,False
k141_109514,DeepVirFinder_only,,,0.0011796369217336,0.4972052269808898,False
k141_9478,DeepVirFinder_only,,,0.0320289880037307,0.263615076667422,False
k141_13244,DeepVirFinder_only,,,0.0001519991201348,0.6323173955736838,False
k141_110941,DeepVirFinder_only,,,2.042646798372516e-07,0.9147594229171389,False
k141_112623,DeepVirFinder_only,,,2.1279911379679103e-05,0.7459777928846589,False
k141_150478,DeepVirFinder_only,,,9.297215910919476e-06,0.7849724299418385,False
k141_134308,DeepVirFinder_only,,,0.0038491715677082,0.4120024171009895,False
k141_159665,DeepVirFinder_only,,,0.0011660078307613,0.4979983382430697,False
k141_94717,DeepVirFinder_only,,,0.0231247246265411,0.2848591283329557,False
k141_139477,DeepVirFinder_only,,,0.0002042805572273,0.6146045773849989,False
k141_30980,DeepVirFinder_only,,,0.8369443416595459,0.0225281365662059,False
k141_83551,DeepVirFinder_only,,,0.920506477355957,0.0163154316791298,False
k141_48454,DeepVirFinder_only,,,0.0012791542103514,0.4913513105219427,False
k141_24608,DeepVirFinder_only,,,0.0043705385178327,0.4026928015711156,False
k141_77907,DeepVirFinder_only,,,0.0420046485960483,0.2462043961024246,False
k141_149551,DeepVirFinder_only,,,0.0004519705544225,0.562939043734421,False
k141_120123,DeepVirFinder_only,,,0.0013088890118524,0.4898972732079462,False
k141_76472,DeepVirFinder_only,,,0.0009600986377336,0.5119344361356598,False
k141_143035,DeepVirFinder_only,,,0.0005214801058173,0.5533084069793791,False
k141_145759,DeepVirFinder_only,,,0.0001981352688744,0.6161907999093588,False
k141_170390,DeepVirFinder_only,,,9.040252189151944e-05,0.6645705869023341,False
