contig_id,contig_length,mapped_reads,total_reads,rpm,rpkm
k141_146138||full,1693,84,4998642,16.8046,9.9259
k141_139416||full,2986,148,4998642,29.6080,9.9156
k141_140747||full,969,48,4998642,9.6026,9.9098
k141_108318||lt2gene,1838,91,4998642,18.2049,9.9048
k141_141018||full,912,45,4998642,9.0024,9.8711
k141_179907||full,3203,158,4998642,31.6086,9.8684
k141_108578||full,2823,139,4998642,27.8076,9.8504
k141_25755||full,1506,74,4998642,14.8040,9.8300
k141_13180||full,1120,55,4998642,11.0030,9.8241
k141_115146||full,2750,135,4998642,27.0073,9.8208
k141_64895||full,2060,101,4998642,20.2055,9.8085
k141_99208||full,3450,169,4998642,33.8092,9.7998
k141_154600||full,1858,91,4998642,18.2049,9.7981
k141_151961||full,1410,69,4998642,13.8037,9.7899
k141_68517||full,1780,87,4998642,17.4047,9.7779
k141_31334||full,922,45,4998642,9.0024,9.7640
k141_71970||full,3139,153,4998642,30.6083,9.7510
k141_6421||full,7347,358,4998642,71.6195,9.7481
k141_39064||full,1809,88,4998642,17.6048,9.7318
k141_35941||full,3501,170,4998642,34.0092,9.7141
k141_24123||full,2935,142,4998642,28.4077,9.6789
k141_15617||full,1282,62,4998642,12.4034,9.6750
k141_37716||full,1760,85,4998642,17.0046,9.6617
k141_161647||full,3149,152,4998642,30.4083,9.6565
k141_178559||full,1161,56,4998642,11.2030,9.6495
k141_173137||full,2676,129,4998642,25.8070,9.6439
k141_152488||full,2033,98,4998642,19.6053,9.6435
k141_117304||full,2948,142,4998642,28.4077,9.6363
k141_39729||full,2284,110,4998642,22.0060,9.6348
k141_43556||full,3032,146,4998642,29.2079,9.6332
k141_122900||lt2gene,1414,68,4998642,13.6037,9.6207
k141_124031||full,2425,116,4998642,23.2063,9.5696
k141_87894||full,1531,73,4998642,14.6040,9.5388
k141_83543||full,1678,80,4998642,16.0043,9.5378
k141_91909||full,2918,139,4998642,27.8076,9.5297
k141_5368||full,2499,119,4998642,23.8065,9.5264
k141_44485||full,2213,105,4998642,21.0057,9.4920
k141_93920||full,2745,130,4998642,26.0071,9.4743
k141_90325||full,4202,199,4998642,39.8108,9.4743
k141_156572||full,2028,96,4998642,19.2052,9.4700
k141_149687||full,1205,57,4998642,11.4031,9.4632
k141_65299||full,1185,56,4998642,11.2030,9.4540
k141_26207||full,2882,135,4998642,27.0073,9.3710
k141_159657||full,1394,65,4998642,13.0035,9.3282
k141_35259||full,5217,243,4998642,48.6132,9.3182
k141_78715||full,1353,63,4998642,12.6034,9.3152
k141_13604||full,1982,92,4998642,18.4050,9.2861
k141_37332||full,1897,88,4998642,17.6048,9.2803
k141_151050||full,5981,277,4998642,55.4151,9.2652
k141_113574||full,1167,54,4998642,10.8029,9.2570
k141_70566||full,2291,106,4998642,21.2058,9.2561
k141_180414||full,2185,101,4998642,20.2055,9.2474
k141_152745||full,2381,110,4998642,22.0060,9.2423
k141_95483||full,1364,63,4998642,12.6034,9.2400
k141_6990||full,3381,156,4998642,31.2085,9.2305
k141_136392||lt2gene,1368,63,4998642,12.6034,9.2130
k141_132409||full,2216,102,4998642,20.4055,9.2083
k141_117849||full,1283,59,4998642,11.8032,9.1997
k141_59101||full,1697,78,4998642,15.6042,9.1952
k141_150158||full,2460,113,4998642,22.6061,9.1895
k141_158162||full,1611,74,4998642,14.8040,9.1893
k141_85507||full,1200,55,4998642,11.0030,9.1692
k141_51237||full,1768,81,4998642,16.2044,9.1654
k141_32224||full,3540,162,4998642,32.4088,9.1550
k141_175570||full,2383,109,4998642,21.8059,9.1506
k141_168916||full,1094,50,4998642,10.0027,9.1433
k141_30246||full,2495,114,4998642,22.8062,9.1408
k141_124447||full,1555,71,4998642,14.2039,9.1343
k141_147351||full,1318,60,4998642,12.0033,9.1072
k141_49547||full,638,29,4998642,5.8016,9.0934
k141_15306||full,4159,189,4998642,37.8103,9.0912
k141_165695||full,1325,60,4998642,12.0033,9.0591
k141_93259||full,1856,84,4998642,16.8046,9.0542
k141_154301||full,1967,89,4998642,17.8048,9.0518
k141_156060||full,1724,78,4998642,15.6042,9.0512
k141_141607||full,1284,58,4998642,11.6032,9.0367
k141_21903||full,2194,99,4998642,19.8054,9.0271
k141_50023||full,2106,95,4998642,19.0052,9.0243
k141_166530||full,4969,224,4998642,44.8122,9.0183
k141_102102||full,3285,148,4998642,29.6080,9.0131
k141_159690||full,1800,81,4998642,16.2044,9.0024
k141_67665||full,1600,72,4998642,14.4039,9.0024
k141_155515||full,1381,62,4998642,12.4034,8.9814
k141_67034||full,4134,185,4998642,37.0101,8.9526
k141_119779||full,2114,94,4998642,18.8051,8.8955
k141_50031||full,1102,49,4998642,9.8027,8.8953
k141_21000||full,1486,66,4998642,13.2036,8.8853
k141_93062||full,1240,55,4998642,11.0030,8.8734
k141_180051||full,1850,82,4998642,16.4045,8.8673
k141_160471||full,1085,48,4998642,9.6026,8.8503
k141_114756||full,4025,178,4998642,35.6097,8.8471
k141_117581||full,3348,148,4998642,29.6080,8.8435
k141_12981||full,1903,84,4998642,16.8046,8.8306
k141_177523||full,4538,200,4998642,40.0109,8.8169
k141_166992||full,1453,64,4998642,12.8035,8.8118
k141_141173||full,1159,51,4998642,10.2028,8.8031
k141_106988||full,1091,48,4998642,9.6026,8.8017
k141_45855||full,933,41,4998642,8.2022,8.7912
k141_4492||full,2279,100,4998642,20.0054,8.7782
k141_111690||full,2192,96,4998642,19.2052,8.7615
k141_162234||full,2538,111,4998642,22.2060,8.7494
k141_129656||full,1213,53,4998642,10.6029,8.7410
k141_75273||full,1580,69,4998642,13.8037,8.7366
k141_142636||full,3394,148,4998642,29.6080,8.7236
k141_173127||full,1470,64,4998642,12.8035,8.7098
k141_55684||full,1264,55,4998642,11.0030,8.7049
k141_3848||full,2896,126,4998642,25.2068,8.7040
k141_54728||full,1360,59,4998642,11.8032,8.6788
k141_54083||full,1130,49,4998642,9.8027,8.6749
k141_40759||full,2080,90,4998642,18.0049,8.6562
k141_37663||full,1318,57,4998642,11.4031,8.6518
k141_53349||full,1506,65,4998642,13.0035,8.6345
k141_78553||full,1831,79,4998642,15.8043,8.6315
k141_164596||full,2554,110,4998642,22.0060,8.6163
k141_105382||full,1673,72,4998642,14.4039,8.6096
