contig_id,contig_length,mapped_reads,total_reads,rpm,rpkm
NODE_1270_length_1641_cov_2.975410||full,1638,142,4998642,28.4077,17.3429
NODE_1049_length_1732_cov_2.795468||lt2gene,1732,150,4998642,30.0082,17.3257
NODE_133_length_3199_cov_2.799936||full,3196,272,4998642,54.4148,17.0259
NODE_4361_length_1171_cov_2.677419||full,1130,96,4998642,19.2052,16.9958
NODE_6543_length_1047_cov_2.771169||full,990,84,4998642,16.8046,16.9743
NODE_2262_length_1398_cov_2.606106||full,1394,116,4998642,23.2063,16.6473
NODE_1305_length_1627_cov_2.877226||full,1627,133,4998642,26.6072,16.3536
NODE_583_length_2059_cov_2.571856||full,2057,167,4998642,33.4091,16.2416
NODE_1367_length_1604_cov_2.699806||full,1600,129,4998642,25.8070,16.1294
NODE_58_length_3895_cov_2.256771||full,3894,312,4998642,62.4170,16.0290
NODE_3813_length_1213_cov_2.879965||full,1200,96,4998642,19.2052,16.0043
NODE_5589_length_1092_cov_3.345227||full,1031,81,4998642,16.2044,15.7172
NODE_3414_length_1249_cov_1.664154||full,1159,91,4998642,18.2049,15.7075
NODE_2162_length_1415_cov_3.052206||full,1412,109,4998642,21.8059,15.4433
NODE_1056_length_1730_cov_3.011343||full,1728,133,4998642,26.6072,15.3977
NODE_3241_length_1267_cov_2.410066||full,1264,97,4998642,19.4053,15.3523
NODE_2412_length_1372_cov_2.535308||full,1160,89,4998642,17.8048,15.3490
NODE_533_length_2107_cov_2.312378||full,1988,152,4998642,30.4083,15.2959
NODE_3538_length_1236_cov_2.240474||full,1233,94,4998642,18.8051,15.2515
NODE_5848_length_1079_cov_2.680664||full,1077,82,4998642,16.4045,15.2316
NODE_1818_length_1487_cov_2.956704||full,1202,91,4998642,18.2049,15.1455
NODE_837_length_1850_cov_2.660724||full,1825,137,4998642,27.4074,15.0178
NODE_2460_length_1364_cov_2.011459||full,1363,101,4998642,20.2055,14.8243
NODE_5623_length_1090_cov_2.777778||lt2gene,1090,80,4998642,16.0043,14.6829
NODE_5541_length_1094_cov_2.295476||full,792,58,4998642,11.6032,14.6504
NODE_6634_length_1043_cov_2.788462||full,945,69,4998642,13.8037,14.6071
NODE_210_length_2788_cov_2.079766||full,2581,187,4998642,37.4102,14.4944
NODE_3816_length_1213_cov_2.552677||full,1133,82,4998642,16.4045,14.4788
NODE_1442_length_1577_cov_1.918528||full,1575,113,4998642,22.6061,14.3531
NODE_3630_length_1228_cov_3.129582||full,782,55,4998642,11.0030,14.0703
NODE_1872_length_1477_cov_2.193390||full,1474,102,4998642,20.4055,13.8437
NODE_2886_length_1308_cov_2.083799||full,1070,74,4998642,14.8040,13.8355
NODE_1918_length_1466_cov_2.523033||lt2gene,1466,101,4998642,20.2055,13.7827
NODE_2826_length_1314_cov_2.544877||lt2gene,1314,89,4998642,17.8048,13.5501
NODE_2969_length_1298_cov_2.176187||full,1296,87,4998642,17.4047,13.4296
NODE_1263_length_1645_cov_2.336478||full,1582,106,4998642,21.2058,13.4044
NODE_4470_length_1164_cov_2.339946||lt2gene,1164,77,4998642,15.4042,13.2338
NODE_7365_length_1014_cov_2.621481||lt2gene,1014,67,4998642,13.4036,13.2186
NODE_1822_length_1486_cov_2.360587||full,1471,97,4998642,19.4053,13.1919
NODE_7624_length_1005_cov_2.422105||full,991,65,4998642,13.0035,13.1216
NODE_7312_length_1016_cov_2.105099||full,1007,65,4998642,13.0035,12.9131
NODE_6517_length_1048_cov_2.368580||full,1045,67,4998642,13.4036,12.8265
NODE_1488_length_1563_cov_2.441645||full,1562,100,4998642,20.0054,12.8076
NODE_2687_length_1333_cov_2.097809||full,1259,80,4998642,16.0043,12.7120
NODE_2782_length_1319_cov_2.150316||full,1032,65,4998642,13.0035,12.6003
NODE_6033_length_1070_cov_2.328079||full,1068,67,4998642,13.4036,12.5502
NODE_4009_length_1197_cov_2.357268||lt2gene,1197,75,4998642,15.0041,12.5347
NODE_2926_length_1303_cov_1.918269||full,1198,75,4998642,15.0041,12.5243
